,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,73.4,53,98,8.05,AU,1613748215
1,brae,60.3964,-1.353,44.6,87,75,28.77,GB,1613748375
2,beni suef,29.0731,31.0979,63.64,42,84,8.16,EG,1613748375
3,ostrovnoy,68.0531,39.5131,-1.57,91,98,3.09,RU,1613748376
4,saskylakh,71.9167,114.0833,-26.61,85,86,7.16,RU,1613748376
5,taoudenni,22.6783,-3.9836,96.06,8,0,14.92,ML,1613748376
6,lorengau,-2.0226,147.2712,81.63,81,59,7.2,PG,1613748376
7,albany,42.6001,-73.9662,27.0,70,100,4.54,US,1613748186
8,gubkinskiy,64.434,76.5026,-21.73,87,99,4.21,RU,1613748376
9,mataura,-46.1927,168.8643,55.0,90,41,8.01,NZ,1613748377
10,port alfred,-33.5906,26.891,72.0,86,90,4.0,ZA,1613748377
11,lebu,-37.6167,-73.65,59.4,44,0,18.79,CL,1613748378
12,rikitea,-23.1203,-134.9692,79.0,70,100,16.31,PF,1613748194
13,port elizabeth,-33.918,25.5701,73.4,73,20,9.22,ZA,1613748113
14,kapaa,22.0752,-159.319,73.4,78,90,16.11,US,1613748378
15,ushuaia,-54.8,-68.3,50.0,62,75,3.44,AR,1613748164
16,canico,32.6333,-16.85,64.4,82,75,20.71,PT,1613748378
17,castro,-24.7911,-50.0119,78.3,50,0,3.53,BR,1613748379
18,dikson,73.5069,80.5464,-31.94,81,59,8.66,RU,1613748379
19,severo-kurilsk,50.6789,156.125,30.65,95,100,19.15,RU,1613748380
20,vaini,-21.2,-175.2,77.0,83,75,13.8,TO,1613748380
21,yellowknife,62.456,-114.3525,3.2,85,75,8.05,CA,1613748230
22,otukpo,7.1913,8.1329,95.11,10,99,5.39,NG,1613748381
23,soyo,-6.1349,12.3689,79.5,81,100,8.46,AO,1613748381
24,provideniya,64.3833,-173.3,-6.41,78,21,0.6,RU,1613748382
25,kurilsk,45.2333,147.8833,25.03,97,99,13.58,RU,1613748382
26,punta arenas,-53.15,-70.9167,51.8,62,75,16.11,CL,1613748382
27,ribeira grande,38.5167,-28.7,53.6,66,75,27.63,PT,1613748382
28,boda,4.3189,17.4695,96.35,15,88,5.39,CF,1613748382
29,tuktoyaktuk,69.4541,-133.0374,-22.0,69,90,8.05,CA,1613748382
30,tiksi,71.6872,128.8694,-26.91,86,100,5.32,RU,1613748383
31,arraial do cabo,-22.9661,-42.0278,86.0,74,75,6.91,BR,1613748383
32,hermanus,-34.4187,19.2345,71.01,61,62,4.0,ZA,1613748384
33,port lincoln,-34.7333,135.8667,63.99,83,65,15.52,AU,1613748384
34,east london,-33.0153,27.9116,71.6,88,75,10.36,ZA,1613748384
35,chuy,-33.6971,-53.4616,79.88,57,0,6.49,UY,1613748384
36,palu,-0.8917,119.8707,74.98,82,97,1.74,ID,1613748384
37,nurlat,54.4277,50.8051,1.76,95,100,5.64,RU,1613748384
38,busselton,-33.65,115.3333,55.0,85,0,11.25,AU,1613748385
39,nome,64.5011,-165.4064,-16.26,84,0,1.99,US,1613748385
40,barrow,71.2906,-156.7887,-5.8,77,90,16.11,US,1613748386
41,jiblah,13.9216,44.1467,61.3,84,72,3.33,YE,1613748386
42,klaksvik,62.2266,-6.589,41.0,93,75,20.71,FO,1613748386
43,bredasdorp,-34.5322,20.0403,68.0,56,49,12.66,ZA,1613748386
44,nemuro,43.3236,145.575,29.1,90,12,13.42,JP,1613748386
45,oranjestad,12.524,-70.027,84.2,61,20,24.16,AW,1613748332
46,hilo,19.7297,-155.09,68.0,68,40,3.27,US,1613748085
47,tiznit,29.5833,-9.5,71.71,20,0,9.31,MA,1613748387
48,coracao de maria,-12.2333,-38.75,88.54,42,100,5.44,BR,1613748387
49,kavieng,-2.5744,150.7967,83.23,79,64,11.48,PG,1613748388
50,partizanskoye,55.5006,94.39,31.75,94,100,14.9,RU,1613748388
51,avarua,-21.2078,-159.775,78.8,89,75,10.36,CK,1613748388
52,bluff,-46.6,168.3333,55.0,90,58,8.01,NZ,1613748388
53,beira,-19.8436,34.8389,89.6,66,75,4.61,MZ,1613748388
54,murgab,37.4966,61.9714,42.8,49,75,13.8,TM,1613748388
55,san patricio,28.017,-97.5169,35.01,60,75,10.36,US,1613748390
56,port macquarie,-31.4333,152.9167,69.01,100,75,3.44,AU,1613748390
57,lagoa,39.05,-27.9833,50.18,80,100,32.3,PT,1613748390
58,new norfolk,-42.7826,147.0587,73.4,53,96,8.05,AU,1613748390
59,lavrentiya,65.5833,-171.0,-15.77,78,0,1.12,RU,1613748390
60,kazachinskoye,57.6953,93.2761,3.43,93,100,9.91,RU,1613748390
61,jamestown,42.097,-79.2353,27.0,86,90,8.05,US,1613748300
62,atuona,-9.8,-139.0333,78.73,79,98,13.62,PF,1613748391
63,kahului,20.8947,-156.47,71.6,83,1,12.66,US,1613748391
64,sitka,57.0531,-135.33,39.2,93,90,23.02,US,1613748391
65,ust-nera,64.5667,143.2,-25.49,77,36,1.05,RU,1613748391
66,cape town,-33.9258,18.4232,73.0,56,20,26.46,ZA,1613748157
67,longyearbyen,78.2186,15.6401,23.0,80,75,8.05,SJ,1613748392
68,marawi,7.9986,124.2928,77.0,82,100,17.0,PH,1613748392
69,thompson,55.7435,-97.8558,-7.6,77,75,4.61,CA,1613748392
70,guerrero negro,27.9769,-114.0611,54.54,38,0,6.29,MX,1613748392
71,upernavik,72.7868,-56.1549,-14.44,87,100,2.28,GL,1613748392
72,saint-philippe,-21.3585,55.7679,78.8,89,0,4.61,RE,1613748392
73,bambous virieux,-20.3428,57.7575,82.4,78,75,11.5,MU,1613748393
74,vardo,70.3705,31.1107,17.6,62,40,12.66,NO,1613748393
75,mecca,21.4267,39.8261,73.58,36,1,16.73,SA,1613748393
76,mansa,29.9833,75.3833,64.09,26,0,2.55,IN,1613748393
77,mandera,3.9366,41.867,98.11,20,100,4.94,KE,1613748394
78,geraldton,-28.7667,114.6,66.2,63,0,17.27,AU,1613748394
79,iqaluit,63.7506,-68.5145,-14.01,70,90,6.91,CA,1613748394
80,kamenka,51.3223,42.7678,1.72,93,63,8.93,RU,1613748394
81,airai,-8.9266,125.4092,60.67,100,99,2.19,TL,1613748394
82,awbari,26.5921,12.7805,71.67,20,0,8.43,LY,1613748394
83,pietarsaari,63.65,22.6833,25.0,93,90,6.91,FI,1613748395
84,shimoda,34.6667,138.95,39.0,63,0,5.01,JP,1613748395
85,nebolchi,59.1239,33.3454,5.85,95,98,3.24,RU,1613748395
86,half moon bay,37.4636,-122.4286,55.0,71,90,8.41,US,1613748396
87,riyadh,24.6877,46.7219,64.4,24,40,9.22,SA,1613748260
88,meulaboh,4.1363,96.1285,80.44,75,55,3.49,ID,1613748396
89,surt,31.2089,16.5887,62.65,50,0,9.01,LY,1613748396
90,bathsheba,13.2167,-59.5167,84.2,58,40,25.32,BB,1613748396
